name;time_ms;m;genome_length;reads_count
random_uniform_dist_test_small;69;400;3000;100000
random_low_coverage_on_both_sides_test_small;72;400;3000;100000
random_with_hole_test_small;67;400;3000;100000
random_zero_coverage_on_both_sides_test_small;70;400;3000;100000
random_uniform_dist_test_medium;379;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;441;2000;15000;500000
random_with_hole_test_medium;358;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;397;2000;15000;500000
random_uniform_dist_test_large;908;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;992;4000;30000;1000000
random_with_hole_test_large;911;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;861;4000;30000;1000000
random_uniform_dist_test_small;69;400;3000;100000
random_low_coverage_on_both_sides_test_small;73;400;3000;100000
random_with_hole_test_small;68;400;3000;100000
random_zero_coverage_on_both_sides_test_small;71;400;3000;100000
random_uniform_dist_test_medium;380;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;444;2000;15000;500000
random_with_hole_test_medium;362;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;394;2000;15000;500000
random_uniform_dist_test_large;908;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;987;4000;30000;1000000
random_with_hole_test_large;913;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;865;4000;30000;1000000
random_uniform_dist_test_small;69;400;3000;100000
random_low_coverage_on_both_sides_test_small;72;400;3000;100000
random_with_hole_test_small;67;400;3000;100000
random_zero_coverage_on_both_sides_test_small;70;400;3000;100000
random_uniform_dist_test_medium;383;2000;15000;500000
random_low_coverage_on_both_sides_test_medium;448;2000;15000;500000
random_with_hole_test_medium;362;2000;15000;500000
random_zero_coverage_on_both_sides_test_medium;410;2000;15000;500000
random_uniform_dist_test_large;927;4000;30000;1000000
random_low_coverage_on_both_sides_test_large;1002;4000;30000;1000000
random_with_hole_test_large;926;4000;30000;1000000
random_zero_coverage_on_both_sides_test_large;875;4000;30000;1000000
